dwa_id,dwa_title,susceptibility,exposure,anchoring,stakes,deployment_gap,verdict,confidence,n_occupations,n_tasks,rationale
4.A.2.a.3.a.8,"Proofread documents, records, or other files to ensure accuracy.",90.3,90.0,9.3,18.2,7.5,largely_automatable,high,4,4,"Grammar, consistency and data-accuracy checking against source records is exactly what deployed text tools already do end-to-end; residual human involvement is stylistic preference, not capability."
4.A.1.a.1.d.5,Retrieve information from electronic sources.,90.2,89.0,8.5,15.0,1.5,largely_automatable,high,1,3,Querying databases and search systems is the canonical case of software doing the whole task; the only residual is judging source reliability.
4.A.2.b.1.g.1,Edit written materials.,89.7,95.0,15.6,21.2,22.5,largely_automatable,high,1,1,"Text revision for grammar, clarity and style is the canonical LLM strength and is already shipped in mainstream writing tools; only high-stakes voice and factual verification still pull a human back in."
4.A.3.b.1.f.12,"Format digital documents, data, or images.",89.3,87.5,8.9,10.5,2.5,largely_automatable,high,1,1,"Formatting is rule-driven transformation of digital artefacts, well covered by templates, scripts and multimodal models, and mistakes are trivially reversible."
4.A.1.a.1.d.7,"Search files, databases or reference materials to obtain needed information.",89.1,89.0,10.9,15.0,3.0,largely_automatable,high,3,3,Retrieval over indexed digital corpora is the canonical strength of search plus RAG systems; the only friction is non-digitised or access-restricted material.
4.A.2.b.1.g.2,Edit documents.,89.0,94.0,15.9,23.8,22.5,largely_automatable,high,1,1,"Document editing is language transformation over supplied text, fully within deployed model capability; residual human need is limited to final responsibility for contractual or regulated wording."
4.A.1.a.1.b.7,Read documents to gather technical information.,87.7,91.0,15.6,25.0,28.5,largely_automatable,high,6,8,This is pure information extraction from text — the core competence of retrieval-augmented language models; only verification of citation fidelity keeps a human nearby.
4.A.2.a.2.c.4,Compile specialized bibliographies or lists of materials.,87.2,88.5,14.1,17.5,17.5,largely_automatable,medium,20,20,"Catalogue search, citation management and LLM synthesis cover bibliography compilation well; the binding issue is relevance curation for a specific patron's need and source-verification against hallucination."
4.A.3.b.1.f.4,Update website content.,86.2,86.5,14.2,21.2,15.5,largely_automatable,medium,3,8,"Content generation and CMS publishing are already scriptable and LLM-drafted; the binding constraint is editorial approval of what goes public under a brand's name, not the mechanics."
4.A.3.b.6.l.7,Prepare informational or reference materials.,86.0,87.0,15.1,22.2,30.0,largely_automatable,medium,1,1,"This is essentially synthesis and exposition of existing information, which deployed language models perform end-to-end; only factual verification and house-style approval remain human."
4.A.2.b.3.a.22,Study product information to acquire professional knowledge.,85.6,87.0,15.8,25.0,39.5,augmentable,medium,1,1,"Ingesting spec sheets and product literature is near-pure document comprehension, highly amenable to models; the constraint is that the worker must be able to recall and apply it live in front of a customer or on a job."
4.A.2.b.3.a.1,Review professional literature to maintain professional knowledge.,85.3,88.5,17.8,26.2,33.5,augmentable,high,17,19,"Retrieval, screening and summarisation of literature is already well served by deployed tools; the constraint is that the resulting knowledge must be internalised by the practitioner who will later apply it."
4.A.3.b.1.f.6,Enter information into databases or software programs.,84.7,81.0,11.6,22.5,2.5,largely_automatable,high,2,2,"OCR, document-extraction models and RPA now ingest most structured and semi-structured sources end-to-end; only messy or unverifiable source documents still require a keying human."
4.A.2.b.2.o.20,Create images or other visual displays.,84.6,82.5,13.3,15.8,10.0,largely_automatable,high,9,11,Generic image and visual-display creation is precisely what deployed generative models do end-to-end; only client intent and rights clearance keep a person in the loop.
4.A.2.a.4.d.2,Analyze data to identify trends or relationships among variables.,84.5,88.5,19.5,30.0,21.0,largely_automatable,medium,18,26,Trend detection and correlation discovery are routinely performed end-to-end by deployed analytics and AutoML pipelines; the human residue is distinguishing spurious from meaningful relationships.
4.A.3.b.1.a.3,Write computer programming code.,84.2,92.5,24.0,40.0,32.5,augmentable,high,15,19,"Code generation is the paradigm case of LLM capability, but specification ambiguity, integration with existing systems and responsibility for shipped defects still bind a human author and reviewer."
4.A.2.a.4.b.5,Analyze website or related online data to track trends or usage.,84.1,80.0,11.9,15.0,-2.5,largely_automatable,high,2,3,"Web analytics platforms already collect, segment, anomaly-detect and narrate usage trends automatically, and errors are cheap and reversible, so nothing binds a human to the loop."
4.A.2.b.3.a.10,Research topics in area of expertise.,83.9,88.5,20.7,27.2,38.5,augmentable,medium,27,52,Information gathering and synthesis is the archetypal LLM task with search tools; residual risk of fabricated or stale sources means an expert must verify before relying on the output.
4.A.4.a.1.c.1,Translate information for others.,83.9,92.5,24.7,36.2,22.5,largely_automatable,high,1,1,"Machine translation is a mature deployed technology handling most general-purpose language conversion end-to-end; certified legal, medical and literary translation remains human-signed for fidelity and liability."
4.A.1.b.3.a.8,"Calculate weights, volumes or other characteristics of materials.",83.8,80.0,12.4,25.5,-8.0,largely_automatable,high,2,2,"This is deterministic arithmetic over densities, geometry and material tables, already embedded in CAD and process-control software; nothing physical or contested binds it."
